Taxa,Flowering_BLUE
MO44_PHW65_0220/LH195,66.92799008426638
MO44_PHW65_0220/PHT69,64.41297090056682
MO44_PHW65_0223/LH195,67.42057356226832
MO44_PHW65_0223/PHT69,63.27733789710006
MO44_PHW65_0224/LH195,67.26132218336771
MO44_PHW65_0224/PHT69,63.83224212510503
MO44_PHW65_0225/LH195,67.56860332647757
MO44_PHW65_0225/PHT69,65.14001819424948
MO44_PHW65_0230/LH195,67.65579147488768
MO44_PHW65_0230/PHT69,63.88894097273437
MO44_PHW65_0236/LH195,67.28435349823236
MO44_PHW65_0236/PHT69,65.84958705971773
MO44_PHW65_0237/LH195,67.38598064155366
MO44_PHW65_0237/PHT69,63.61253519148435
MO44_PHW65_0242/LH195,66.26611110600555
MO44_PHW65_0242/PHT69,63.94494170747737
MO44_PHW65_0244/LH195,67.04047694275388
MO44_PHW65_0244/PHT69,64.15993367583258
MO44_PHW65_0247/LH195,66.90207928858611
MO44_PHW65_0247/PHT69,64.0488243513417
MO44_PHW65_0248/LH195,67.44928204283885
MO44_PHW65_0248/PHT69,64.6220159402117
MO44_PHW65_0250/LH195,66.88215813830078
MO44_PHW65_0250/PHT69,63.264010559490984
MO44_PHW65_0253/LH195,68.33576558389089
MO44_PHW65_0253/PHT69,67.7959333740371
MO44_PHW65_0254/LH195,67.14048168458153
MO44_PHW65_0254/PHT69,65.07549623798963
MO44_PHW65_0259/LH195,67.48988644136308
MO44_PHW65_0259/PHT69,64.96207045777942
MO44_PHW65_0260/LH195,66.91333721378139
MO44_PHW65_0260/PHT69,63.999970138206166
MO44_PHW65_0263/LH195,66.83658446688385
MO44_PHW65_0263/PHT69,64.61453240526706
MO44_PHW65_0268/LH195,65.93382149446289
MO44_PHW65_0268/PHT69,64.1085887819299
MO44_PHW65_0271/LH195,67.50446259101311
MO44_PHW65_0271/PHT69,64.37454058662279
MO44_PHW65_0274/LH195,68.11257719255302
MO44_PHW65_0274/PHT69,65.71344568075614
MO44_PHW65_0281/LH195,66.36513106642197
MO44_PHW65_0281/PHT69,64.14232138684724
MO44_PHW65_0288/LH195,67.257568320809
MO44_PHW65_0288/PHT69,63.05003597565899
MO44_PHW65_0296/LH195,67.32921107064524
MO44_PHW65_0296/PHT69,63.58715504676743
MO44_PHW65_0302/LH195,67.56766778487642
MO44_PHW65_0302/PHT69,65.16971700619378
MO44_PHW65_0307/LH195,65.9555857852773
MO44_PHW65_0307/PHT69,64.44176377492113
MO44_PHW65_0315/LH195,66.86036052096907
MO44_PHW65_0315/PHT69,64.89604955691216
MO44_PHW65_0316/LH195,67.03257393961437
