taxa,PC1,PC2,PC3,PC4
MO44_PHW65_0027/LH195,9.45536733353613,-3.75535669122902,5.85291189399952,1.07703082695062
MO44_PHW65_0027/PHT69,9.45536733353613,-3.75535669122902,5.85291189399952,1.07703082695062
MO44_PHW65_0029/LH195,9.34408050307732,-2.84996790717986,6.13765587813587,1.95378956827037
MO44_PHW65_0029/PHT69,9.34408050307732,-2.84996790717986,6.13765587813587,1.95378956827037
MO44_PHW65_0031/LH195,9.37279835746747,-2.75756235226824,7.07455944961497,1.45061011896298
MO44_PHW65_0031/PHT69,9.37279835746747,-2.75756235226824,7.07455944961497,1.45061011896298
MO44_PHW65_0033/LH195,9.15266708995457,-3.4247511105298,7.60714747641283,1.50652930052491
MO44_PHW65_0033/PHT69,9.15266708995457,-3.4247511105298,7.60714747641283,1.50652930052491
MO44_PHW65_0034/LH195,10.4864066328821,-2.06452563773844,4.52374315689338,1.00740221616357
MO44_PHW65_0034/PHT69,10.4864066328821,-2.06452563773844,4.52374315689338,1.00740221616357
MO44_PHW65_0035/LH195,0.946752060940958,-0.86209612067966,2.87197856922473,4.95933638811152
MO44_PHW65_0035/PHT69,1.01702710920169,-0.869734255231596,2.87083307718848,4.99804963044969
MO44_PHW65_0036/LH195,10.071815537796,-2.84497880890398,5.53959928878917,0.508916869186723
MO44_PHW65_0036/PHT69,10.071815537796,-2.84497880890398,5.53959928878917,0.508916869186723
MO44_PHW65_0037/LH195,5.05823249251994,-3.81092529623959,11.07431636206,1.8725668073862
MO44_PHW65_0037/PHT69,5.05823249251994,-3.81092529623959,11.07431636206,1.8725668073862
MO44_PHW65_0042/LH195,5.18387177518431,-3.7031327355015,11.1250994837882,2.11585651910326
MO44_PHW65_0042/PHT69,5.18387177518431,-3.7031327355015,11.1250994837882,2.11585651910326
MO44_PHW65_0048/LH195,6.62370659985769,-3.76396007509152,10.3544630398237,1.56652719895327
MO44_PHW65_0048/PHT69,6.62370659985769,-3.76396007509152,10.3544630398237,1.56652719895327
MO44_PHW65_0050/LH195,9.35141066415346,-2.49327889786274,6.43488152247677,0.644278369894493
MO44_PHW65_0050/PHT69,9.35141066415346,-2.49327889786274,6.43488152247677,0.644278369894493
MO44_PHW65_0052/LH195,8.54164739894979,-2.7724949508343,6.70287964232125,0.624361084940109
MO44_PHW65_0052/PHT69,8.54164739894979,-2.7724949508343,6.70287964232125,0.624361084940109
MO44_PHW65_0056/LH195,4.19430543413693,-1.36720906877722,1.86567395786757,2.655571587642
MO44_PHW65_0056/PHT69,4.19430543413693,-1.36720906877722,1.86567395786757,2.655571587642
MO44_PHW65_0060/LH195,8.90031602873785,-2.56830734625316,6.30970129242412,2.33907016470276
MO44_PHW65_0060/PHT69,8.90031602873785,-2.56830734625316,6.30970129242412,2.33907016470276
MO44_PHW65_0063/LH195,8.86575237682587,-4.36543642325598,5.77963085197997,1.0757185059857
MO44_PHW65_0063/PHT69,8.86575237682587,-4.36543642325598,5.77963085197997,1.0757185059857
MO44_PHW65_0067/LH195,6.82770269466866,-3.37533550575919,10.2066554237216,2.0825579577105
MO44_PHW65_0067/PHT69,6.82770269466866,-3.37533550575919,10.2066554237216,2.0825579577105
MO44_PHW65_0068/LH195,8.04633803580943,-3.56247931521855,7.81301236322089,0.398751321894867
MO44_PHW65_0068/PHT69,8.04633803580943,-3.56247931521855,7.81301236322089,0.398751321894867
MO44_PHW65_0069/LH195,8.41263467182187,-2.5831277949298,6.37399532770702,1.61213782591435
MO44_PHW65_0069/PHT69,8.41263467182187,-2.5831277949298,6.37399532770702,1.61213782591435
MO44_PHW65_0073/LH195,8.3066010147037,-3.6004336035523,7.43708984120382,2.07624849120099
MO44_PHW65_0073/PHT69,8.3066010147037,-3.6004336035523,7.43708984120382,2.07624849120099
MO44_PHW65_0074/LH195,6.51198217184904,-3.32894410879168,9.60237046679841,1.44315709698347
MO44_PHW65_0074/PHT69,6.51198217184904,-3.32894410879168,9.60237046679841,1.44315709698347
MO44_PHW65_0080/LH195,7.63095879057496,-4.38771165514427,7.91657659071851,1.17481392614683
MO44_PHW65_0080/PHT69,7.63095879057496,-4.38771165514427,7.91657659071851,1.17481392614683
MO44_PHW65_0083/LH195,7.865689787136,-3.73205187337135,8.52830327859861,0.958627297099407
MO44_PHW65_0083/PHT69,7.865689787136,-3.73205187337135,8.52830327859861,0.958627297099407
MO44_PHW65_0084/LH195,10.8311156769863,-3.02708839946092,4.94909797467212,0.862434171487581
MO44_PHW65_0084/PHT69,10.8311156769863,-3.02708839946092,4.94909797467212,0.862434171487581
MO44_PHW65_0092/LH195,7.2061249525722,-4.18657639000364,9.33632943187786,1.95775497235901
MO44_PHW65_0092/PHT69,7.2061249525722,-4.18657639000364,9.33632943187786,1.95775497235901
MO44_PHW65_0093/LH195,8.16655288758171,-3.82256177289508,7.46043829193837,0.941624586402388
MO44_PHW65_0093/PHT69,8.16655288758171,-3.82256177289508,7.46043829193837,0.941624586402388
MO44_PHW65_0098/LH195,7.73230843149658,-3.18960318373257,8.18695887533361,0.427844622511645
